Timestamp,Sign,Price
2015-01-19,1,225.51
2015-01-20,-1,218.0
2015-01-21,1,225.51
2015-01-22,1,226.32
2015-01-23,1,235.0
2015-01-24,1,240.0
2015-01-25,1,254.53
2015-01-26,1,274.48
2015-01-27,-1,263.65
2015-01-28,-1,236.09
2015-01-29,-1,235.03
2015-01-30,-1,229.07
2015-01-31,-1,218.45
2015-02-01,1,228.99
2015-02-02,1,237.83
2015-02-03,-1,228.58
2015-02-04,-1,227.11
2015-02-05,-1,216.76
2015-02-06,1,223.2
2015-02-07,1,229.0
2015-02-08,-1,223.99
2015-02-09,-1,221.1
2015-02-10,-1,220.87
2015-02-11,-1,219.81
2015-02-12,1,223.21
2015-02-13,1,236.49
2015-02-14,1,256.66
2015-02-15,-1,235.54
2015-02-16,-1,234.68
2015-02-17,1,244.82
2015-02-18,-1,237.49
2015-02-19,1,240.9
2015-02-20,1,245.34
2015-02-21,1,245.99
2015-02-22,-1,236.83
2015-02-23,1,239.49
2015-02-24,1,239.87
2015-02-25,-1,238.19
2015-02-26,-1,237.11
2015-02-27,1,254.42
2015-02-28,1,255.59
2015-03-01,1,260.24
2015-03-02,1,276.7
2015-03-03,1,283.27
2015-03-04,-1,273.37
2015-03-05,1,276.86
2015-03-06,-1,273.23
2015-03-07,1,276.89
2015-03-08,-1,275.5
2015-03-09,1,290.19
2015-03-10,1,293.47
2015-03-11,1,296.99
2015-03-12,-1,296.05
2015-03-13,-1,284.0
2015-03-14,-1,283.95
2015-03-15,1,288.0
2015-03-16,1,292.37
2015-03-17,-1,286.74
2015-03-18,-1,258.5
2015-03-19,1,263.05
2015-03-20,1,263.31
2015-03-21,-1,261.9
2015-03-22,1,269.45
2015-03-23,-1,267.53
2015-03-24,-1,246.15
2015-03-25,1,246.88
2015-03-26,1,249.88
2015-03-27,-1,247.81
2015-03-28,1,253.52
2015-03-29,-1,243.69
2015-03-30,1,248.78
2015-03-31,-1,245.5
2015-04-01,1,247.87
2015-04-02,1,254.39
2015-04-03,1,254.84
2015-04-04,-1,254.36
2015-04-05,1,261.47
2015-04-06,-1,256.85
2015-04-07,-1,254.27
2015-04-08,-1,246.58
2015-04-09,-1,244.74
2015-04-10,-1,236.78
2015-04-11,1,237.91
2015-04-12,-1,237.55
2015-04-13,-1,225.73
2015-04-14,-1,221.05
2015-04-15,1,224.35
2015-04-16,1,229.45
2015-04-17,-1,223.62
2015-04-18,1,224.02
2015-04-19,1,224.03
2015-04-20,1,225.37
2015-04-21,1,235.89
2015-04-22,-1,233.98
2015-04-23,1,235.99
2015-04-24,-1,231.51
2015-04-25,-1,227.05
2015-04-26,-1,221.27
2015-04-27,1,227.58
2015-04-28,-1,225.64
2015-04-29,1,225.6
2015-04-30,1,236.81
2015-05-01,-1,233.14
2015-05-02,1,235.94
2015-05-03,1,240.78
2015-05-04,-1,239.75
2015-05-05,-1,236.76
2015-05-06,-1,230.0
2015-05-07,1,237.99
2015-05-08,1,244.54
2015-05-09,-1,242.5
2015-05-10,-1,241.57
2015-05-11,1,242.86
2015-05-12,-1,242.03
2015-05-13,-1,236.32
2015-05-14,1,237.46
2015-05-15,1,237.82
2015-05-16,-1,236.73
2015-05-17,1,237.12
2015-05-18,-1,234.04
2015-05-19,-1,232.59
2015-05-20,1,234.54
2015-05-21,1,235.77
2015-05-22,1,240.45
2015-05-23,-1,239.36
2015-05-24,1,240.82
2015-05-25,-1,237.43
2015-05-26,-1,236.79
2015-05-27,1,237.35
2015-05-28,-1,237.34
2015-05-29,-1,236.89
2015-05-30,-1,233.55
2015-05-31,-1,230.21
2015-06-01,-1,223.56
2015-06-02,1,225.85
2015-06-03,1,225.86
2015-06-04,-1,224.57
2015-06-05,1,224.97
2015-06-06,1,225.48
2015-06-07,-1,223.89
2015-06-08,1,229.1
2015-06-09,1,229.18
2015-06-10,-1,228.73
2015-06-11,1,229.69
2015-06-12,-1,229.47
2015-06-13,1,233.47
2015-06-14,1,233.6
2015-06-15,1,236.99
2015-06-16,1,251.91
2015-06-17,-1,250.25
2015-06-18,-1,249.27
2015-06-19,-1,246.33
2015-06-20,-1,246.13
2015-06-21,-1,244.66
2015-06-22,1,247.5
2015-06-23,-1,244.52
2015-06-24,-1,240.04
2015-06-25,1,242.44
2015-06-26,1,243.0
2015-06-27,1,251.59
2015-06-28,-1,249.11
2015-06-29,1,257.54
2015-06-30,1,263.82
2015-07-01,-1,259.02
2015-07-02,-1,254.85
2015-07-03,1,256.95
2015-07-04,1,260.64
2015-07-05,1,271.74
2015-07-06,-1,269.94
2015-07-07,-1,266.18
2015-07-08,1,270.97
2015-07-09,-1,269.75
2015-07-10,1,286.67
2015-07-11,1,294.23
2015-07-12,1,312.16
2015-07-13,-1,293.08
2015-07-14,-1,287.51
2015-07-15,-1,285.7
2015-07-16,-1,279.38
2015-07-17,1,280.58
2015-07-18,-1,277.71
2015-07-19,-1,275.61
2015-07-20,1,280.0
2015-07-21,-1,277.32
2015-07-22,1,277.89
2015-07-23,-1,277.39
2015-07-24,1,289.12
2015-07-25,1,289.7
2015-07-26,1,293.89
2015-07-27,1,294.21
2015-07-28,1,295.76
2015-07-29,-1,290.19
2015-07-30,-1,288.49
2015-07-31,-1,285.19
2015-08-01,-1,281.53
2015-08-02,1,282.62
2015-08-03,-1,280.95
2015-08-04,1,285.51
2015-08-05,-1,282.77
2015-08-06,-1,279.65
2015-08-07,1,279.94
2015-08-08,-1,262.02
2015-08-09,1,267.63
2015-08-10,-1,265.15
2015-08-11,1,271.99
2015-08-12,-1,266.94
2015-08-13,-1,264.67
2015-08-14,1,266.17
2015-08-15,-1,262.46
2015-08-16,-1,259.2
2015-08-17,-1,257.31
2015-08-18,-1,221.99
2015-08-19,1,227.34
2015-08-20,1,235.56
2015-08-21,-1,232.85
2015-08-22,-1,231.15
2015-08-23,-1,229.21
2015-08-24,-1,211.16
2015-08-25,1,223.73
2015-08-26,1,226.81
2015-08-27,-1,225.8
2015-08-28,1,231.55
2015-08-29,-1,230.61
2015-08-30,-1,229.39
2015-08-31,1,230.75
2015-09-01,-1,228.22
2015-09-02,1,229.97
2015-09-03,-1,227.25
2015-09-04,1,231.39
2015-09-05,1,236.01
2015-09-06,1,241.29
2015-09-07,1,241.31
2015-09-08,1,244.14
2015-09-09,-1,238.75
2015-09-10,-1,238.52
2015-09-11,1,240.9
2015-09-12,-1,236.5
2015-09-13,-1,230.82
2015-09-14,1,231.01
2015-09-15,-1,230.6
2015-09-16,-1,229.73
2015-09-17,1,233.34
2015-09-18,1,233.78
2015-09-19,-1,232.88
2015-09-20,-1,232.24
2015-09-21,-1,227.31
2015-09-22,1,231.28
2015-09-23,-1,230.26
2015-09-24,1,235.27
2015-09-25,1,235.89
2015-09-26,-1,234.69
2015-09-27,-1,233.58
2015-09-28,1,239.99
2015-09-29,-1,236.89
2015-09-30,1,237.14
2015-10-01,1,238.34
2015-10-02,-1,238.28
2015-10-03,1,239.92
2015-10-04,-1,239.87
2015-10-05,1,240.95
2015-10-06,1,246.64
2015-10-07,-1,244.0
2015-10-08,-1,242.94
2015-10-09,1,244.35
2015-10-10,1,246.07
2015-10-11,1,249.02
2015-10-12,-1,246.39
2015-10-13,1,250.99
2015-10-14,1,253.27
2015-10-15,1,254.99
2015-10-16,1,263.43
2015-10-17,1,272.87
2015-10-18,-1,265.0
2015-10-19,1,265.17
2015-10-20,1,271.14
2015-10-21,-1,268.77
2015-10-22,1,275.84
2015-10-23,1,278.76
2015-10-24,1,284.29
2015-10-25,1,284.97
2015-10-26,1,287.1
2015-10-27,1,295.61
2015-10-28,1,304.09
2015-10-29,1,316.08
2015-10-30,1,329.11
2015-10-31,-1,314.85
2015-11-01,1,329.46
2015-11-02,1,365.21
2015-11-03,1,404.1
2015-11-04,1,410.0
2015-11-05,-1,387.21
2015-11-06,-1,374.09
2015-11-07,1,384.81
2015-11-08,-1,373.83
2015-11-09,1,379.53
2015-11-10,-1,337.14
